Block,Timestamp,tri_usdt_oracle_new,tri_usdt_ref,tri_usdc_oracle_new,tri_usdc_ref,tri_llama_oracle_new,tri_llama_ref,tri_lsd_oracle_new,tri_lsd_ref,tri_crv_oracle_new,tri_crv_ref
18353380,1697343947,1042.544263096528,1042.1707207213433,1043.569047573674,1043.4172031207129,1090.0479555174359,1089.186846426046,5123.83594771817,5108.045457767606,27.1466830759159,27.169773855048057
18353600,1697346587,1042.544263096528,1042.1238689210866,1043.3381891657414,1043.3708601803535,1090.0479555174359,1089.1756847480638,5123.83594771817,5107.685009948384,27.142289013530846,27.16876519045709
18353820,1697349239,1042.544263096528,1042.1238689210866,1043.2927574638118,1043.3714737082262,1088.5393760294394,1089.1278543604233,5123.163086460877,5107.471556743344,27.144083555716122,27.168768398887735
18354040,1697351903,1042.544263096528,1042.0023566765792,1043.2357286424915,1043.2504609474774,1088.5393760294394,1088.9233845031708,5119.696505794582,5104.7626857472615,27.16543025640754,27.164595178148506
18354260,1697354567,1042.544263096528,1041.898289564842,1043.2100623854774,1043.1467620937312,1088.5393760294394,1088.8540575228544,5119.708915965048,5104.399668161056,27.205969561456254,27.163697356856947
18354480,1697357207,1042.544263096528,1042.3408986867507,1043.3249522099632,1043.5768708911842,1088.5393760294394,1088.9508615776942,5119.708915965048,5107.770691586507,27.20293211943862,27.1721715694098
18354700,1697359859,1042.544263096528,1042.3408986867507,1043.704144750718,1043.5772927246885,1088.5393760294394,1089.2465911771812,5123.873902935352,5109.0919592447735,27.204646812506116,27.172190850435506
18354920,1697362547,1042.544263096528,1043.2526178952899,1044.595406782397,1044.4834400454893,1088.526111728342,1090.560236319176,5138.036015606128,5119.725420453168,27.234630188816766,27.188146372288436
18355140,1697365199,1042.543281248974,1043.189934826294,1044.2464698004287,1044.4208468720676,1088.526111728342,1090.0309544091836,5131.722466843098,5117.875718007168,27.236391946153475,27.188656959359427
18355360,1697367875,1042.543281248974,1043.370363735749,1044.3189360709,1044.6042149392624,1091.654399534952,1090.0258399644506,5131.722466843098,5119.727664739806,27.24987774227293,27.193233002067856
18355580,1697370527,1042.543281248974,1043.370363735749,1043.515212318944,1044.6047445495378,1091.654399534952,1089.552233383695,5125.045793517476,5117.609609487088,27.221451369758896,27.1933001088451
18355800,1697373179,1042.543281248974,1042.1779442304733,1042.9941721971045,1043.4134413189356,1090.7229221701352,1088.971339829972,5125.228782594238,5111.452425357093,27.212288484321792,27.177121327608898
